Stock number,Artist's reference number,Title,Year,Medium,Dimensions,Signed and dated,Series,Additional information,Status,Availability,Location,Location (detail),Condition
HC1452,i23-0452,Untitled (i23-0452),1993,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Portrait orientation
Laser printed AARON drawings
AARON'S Drawings People
Image: 10 1/2 x 8
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1451,i23-0451,Untitled (i23-0451),1993,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Portrait orientation
Laser printed AARON drawings
AARON'S Drawings People
Image: 10 1/2 x 7 5/8
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1450,i23-0450,Untitled (i23-0450),1993,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Portrait orientation
Laser printed AARON drawings
AARON'S Drawings People
Image: 10 1/2 x 7
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1449,i23-0449,Untitled (i23-0449),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Landscape orientation
Laser printed AARON drawings
AARON'S Drawings People
Image: 7 3/8 x 6 3/8
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1448,i23-0448,Untitled (i23-0448),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Landscape orientation
Laser printed AARON drawings
AARON'S Drawings People
Image: 7 3/8 x 6 3/8
Probably printed as a mirror image
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1447,i23-0447,Untitled (i23-0447),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Landscape orientation
Laser printed AARON drawings
AARON'S Drawings People
Image: 8 x 10 1/4
Drawing of ""Three Graces"" painting
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1446,i23-0446,Untitled (i23-0446),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Landscape orientation
Laser printed AARON drawings
AARON'S Drawings People
Image: 8 x 10 1/4
Drawing of ""Three Graces"" painting
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1445,i23-0445,Untitled (i23-0445),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Landscape orientation
Laser printed AARON drawings
AARON'S Drawings People
Image: 7 x 10 3/8
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1444,i23-0444,Untitled (i23-0444),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Landscape orientation
Laser printed AARON drawings
AARON'S Drawings People
Image: 8 1/8 x 10 1/8
Probably printed as a mirror image
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,Dirt marks on reverse
HC1443,i23-0443,Untitled (i23-0443),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Landscape orientation
Laser printed AARON drawings
AARON'S Drawings People
Image: 8 x 10 1/4
Maybe a drawing of a painting
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
